"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Padun ","22106",126,0.971810991685257,20,63,68.600012,31.850017
"Pajala","02096",78,0.898380474452555,9,168,67.2166666666667,23.4
"PALMER MUNICIPAL AIRPORT","70274",16,0.994572274746554,20,70.1,61.596,-149.092
"PAULATUK","71948",6,0.946062992125984,20,5.5,69.361,-124.059
"Pechora ","23418",306,1.0009582477755,20,56,65.116669,57.100002
"Pello ","02844",16,0.936369695222999,18,84,66.800016,24
"Petrozavodsk ","22820",282,1.00034223134839,20,112,61.816683,34.266672
"Petrun ","23324",96,0.639694041867955,13,58,66.466676,60.750015
"Pinega ","22563",271,1.0000855578371,20,31,64.700014,43.383341
"Pitlyar ","23431",59,0.960600616016427,9,15,65.83335,65.933352
"Pjalica ","22349",90,0.998357289527721,20,8,66.183337,39.533344
"Pokrovskaja ","24856",196,0.999144421629021,20,112,61.483343,129.150003
"Polargmo Im. E. T. Krenkelja ","20046",1,0.999947346251053,13,20,80.616679,58.050001
"Potapovo ","23174",40,0.547018212117605,13,41,68.66668,86.250005
"Pravaja Hetta ","23443",69,0.960600616016427,10,54,65.866684,74.50001
"Preobrazhenka ","24918",121,0.55464320625611,11,295,60.050001,108.083335
"Progress ","89574",1,0.944999194717346,18,64,-69.400008,76.400008
"Pudoz ","22831",346,0.995311430527036,20,48,61.800016,36.583345
"PUVIRNITUQ","71907",1,0.907585236158899,20,22.6,60.051,-77.287
"RALPH M CALHOUN MEML ARPT","70178",125,0.992357630979499,20,67.7,65.175,-152.107
"RALPH WIEN MEMORIAL AIRPORT","70133",7,0.997108378870674,20,9.1,66.867,-162.633
"Rana-Basmoen","01149",2,0.587591240875912,6,40,66.3333333333333,14.1
"Rankin Inlet, N. W. T. ","71083",36,1.00140314852841,20,31,62.816683,-92.116669
"Rankki ","02976",39,1.00967423693324,20,11,60.366674,26.966686
"Raznavolok ","22525",63,0.523582600195503,11,9,64.566678,34.916685
"Reboly ","22602",206,0.999863107460643,20,181,63.83335,30.816683
"Rena Ap ","01389",135,0.982018538798498,20,255,61.183337,11.366674
"Resolute, N. W. T. ","71924",3,1.00414099931554,20,67,74.716681,-94.983353
"Reykjavik ","04030",21,1.00022245037645,20,61,64.133336,-21.933352
"Roros ","01288",42,0.954364765966409,20,628,62.566678,11.383341
"Rost Ii","01106",1,0.709591854196971,11,10,67.5,12.0833333333333
"Rothera Point ","89062",2,0.968785937243305,20,16,-67.566678,-68.133336
"Rovaniemi ","02845",40,0.983882008836891,20,197,66.566678,25.83335
"Rustefjelbma","01075",25,0.823728569370408,14,9,70.4,28.2
"Saim ","23929",319,0.991649555099247,20,53,60.316673,64.216671
"Salehard ","23330",159,1.00039356605065,20,16,66.533344,66.66668
"Saltdal-Nordnes ","01169",23,0.863339689058375,16,38,66.933352,15.300006
"Sangary ","24652",190,0.996834360027378,20,90,63.966686,127.466676
"Saran-Paul ","23527",153,0.894072823507939,15,29,64.283339,60.883351
"Saskylah ","21802",19,0.993839587695281,20,24,71.966686,114.083335
"Segeza ","22621",242,0.995704996577687,20,113,63.766682,34.283339
"Sejaha ","20967",12,0.802080481795784,10,16,70.16667,72.516677
"Sejmchan ","25703",150,0.999503764544832,20,207,62.916685,152.416675
"Selagoncy ","24329",77,0.986772758384668,20,235,66.250005,114.283339
